"origin","destination","storing","cause","date","dur_hours","dur_minutes"
"Den Haag HS","Rotterdam Centraal","Treinstoring Den Haag HS-Rotterdam C.","defecte trein",NA,"0","16"
"'s-Hertogenbosch","Nijmegen","Treinstoring Nijmegen-Oss","aanrijding",NA,"0","7"
"Lelystad Centrum","Zwolle","Treinstoring Lelystad C.-Zwolle","defecte trein",NA,"0","4"
"HSLBreda","Rotterdam Centraal","Treinstoring Amsterdam C.-Breda","seinstoring",NA,"3","53"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","seinstoring",NA,"3","53"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","seinstoring",NA,"3","53"
"Eindhoven","Venlo","Treinstoring Eindhoven-Deurne/Venlo","persoon op het spoor",NA,"1","9"
NA,NA,"Treinstoring Amsterdam-Utrecht/Woerden na 00.10 uur","Herstelwerkzaamheden",NA,"11","11"
NA,NA,"Treinstoring Utrecht Centraal-Den Bosch na 00.45 uur","Herstelwerkzaamheden",NA,"13","15"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Deventer","wisselstoring",NA,"6","13"
"Apeldoorn","Deventer","Treinstoring Amersfoort-Deventer","wisselstoring",NA,"6","13"
"Leiden Centraal","Utrecht Centraal","Treinstoring Leiden C.-Alphen a/d Rijn","verstoring elders",NA,"0","53"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Utrecht C.-Rotterdam C.","seinstoring",NA,"1","17"
"Groningen","Zwolle","Treinstoring Zwolle-Assen","defecte trein",NA,"0","4"
"Leiden Centraal","Utrecht Centraal","Treinstoring Utrecht C.-Alphen a/d Rijn","defecte bovenleiding",NA,"6","43"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Leiden C.","defecte trein",NA,"0","2"
"HSLBreda","Rotterdam Centraal","Treinstoring Rotterdam C.-Breda","weersomstandigheden",NA,"5","18"
"Den Haag HS","Rotterdam Centraal","Treinstoring Rotterdam C.-Den Haag HS","seinstoring",NA,"0","7"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Almere C.-Lelystad C.","defecte trein",NA,"0","48"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Almere C.-Lelystad C.","defecte trein",NA,"0","48"
"Lelystad Centrum","Schiphol Airport","Treinstoring Almere C.-Lelystad C.","defecte trein",NA,"0","48"
"Eindhoven","Venlo","Treinstoring Helmond-Deurne/Venlo  (sein- en overwegstoring)",NA,NA,"0","45"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen","defecte trein",NA,"0","40"
"Apeldoorn","Deventer","Treinstoring Apeldoorn-Deventer","wisselstoring",NA,"1","7"
"Leeuwarden","Zwolle","Treinstoring Leeuwarden-Zwolle","gestrande trein",NA,"1","41"
"Delfzijl","Groningen","Treinstoring Groningen-Delfzijl/Roodeschool","eerdere verstoring",NA,"1","1"
"Groningen","Roodeschool","Treinstoring Groningen-Delfzijl/Roodeschool","eerdere verstoring",NA,"1","1"
"Leiden Centraal","Utrecht Centraal","Treinstoring Leiden C.-Alphen a/d Rijn","inzet van hulpdiensten",NA,"0","7"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol Airport-Hilversum/Lelystad C.","defect wissel",NA,"2","29"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol Airport-Hilversum/Lelystad C.","defect wissel",NA,"2","29"
"Leiden Centraal","Schiphol Airport","Treinstoring Leiden C.-Schiphol Airport","aanrijding met een persoon",NA,"2","22"
"Groningen","Roodeschool","Treinstoring Groningen-Roodeschool","wisselstoring",NA,"1","52"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Leeuwarden","weersomstandigheden",NA,"6","41"
"Groningen","Zwolle","Treinstoring Zwolle-Groningen","weersomstandigheden",NA,"16","58"
"HSLBreda","Rotterdam Centraal","Treinstoring Amsterdam C.-Breda","eerdere verstoring",NA,"1","50"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","eerdere verstoring",NA,"1","50"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","eerdere verstoring",NA,"1","50"
"Alkmaar","Den Helder","Treinstoring Den Helder-Alkmaar","aanrijding met een persoon",NA,"0","30"
"Delfzijl","Groningen","Treinstoring Groningen-Delfzijl/Leer (Ostfr.)/Leeuwarden/Roodeschool/Veendam","weersomstandigheden",NA,"5","38"
