X,Y,STATIONABB,NAME,Province,Randst_rl,IC_2015
5.921584738802187,52.55972908538137,Kpn,Kampen,Overijssel,0.000000,0
5.912982635914159,52.532978081718454,Kpnz,Kampen Zuid,Overijssel,0.000000,0
3.956766240400345,51.480394298960562,Bzl,Kapelle-Biezelinge,Zeeland,0.000000,1
6.0570876852984,50.861073729000658,Krd,Kerkrade Centrum,Limburg,0.000000,0
5.583413960235019,51.931232444091528,Ktr,Kesteren,Limburg,0.000000,0
6.084483495344284,52.177898702291216,Kbk,Klarenbeek,Gelderland,0.000000,0
5.890209229101107,50.866223991785077,Kmr,Klimmen-Ransdaal,Limburg,0.000000,0
4.805646265979125,52.45776236249506,Kbw,Koog Bloemwijk,Noord-Holland,0.000000,0
4.805037342817613,52.469339542852367,Kzd,Koog-Zaandijk,Noord-Holland,0.000000,0
5.410834497622725,52.902776840778152,Kmw,Koudum-Molkwerum,Friesland,0.000000,0
4.118565016815526,51.432657823217191,Kbd,Krabbendijke,Zeeland,0.000000,1
4.755134270371928,52.494826086105007,Kma,Krommenie-Assendelft,Noord-Holland,0.000000,0
6.722077478077789,53.161705345563107,Kw,Kropswolde,Groningen,0.000000,0
4.036237998382577,51.465542339997796,Krg,Kruiningen-Yerseke,Zeeland,0.000000,1
4.662937589037697,51.690066986676079,Zlw,Lage Zwaluwe,Noord-Brabant,0.000000,0
6.019749100352515,50.896396385670073,Lg,Landgraaf,Limburg,0.000000,0
5.092483974008526,51.894558665057922,Ldm,Leerdam,Zuid-Holland,0.000000,0
5.793047751464967,53.196172131389915,Lw,Leeuwarden,Friesland,0.000000,1
5.816162970560801,53.199013354010461,Adh,Leeuwarden Achter de Hoven,Friesland,0.000000,0
5.842463481791845,53.202107065744279,Lwc,Leeuwarden Camminghaburen,Friesland,0.000000,0
4.481866895840025,52.166049761955755,Ledn,Leiden Centraal,Zuid-Holland,0.000000,1
4.492913925959255,52.146754081043802,Ldl,Leiden Lammenschans,Zuid-Holland,0.000000,0
4.382122650208949,52.077630407746028,Ldv,Leidschendam-Voorburg,Zuid-Holland,1.000000,0
5.472471081562609,52.507945623715521,Lls,Lelystad Centrum,Flevoland,0.000000,1
6.59555846207715,52.01227681851416,Ltv,Lichtenvoorde-Groenlo,Gelderland,0.000000,0
6.426383526171167,52.166846361357109,Lc,Lochem,Gelderland,0.000000,0
6.747364121612502,53.334723289282358,Lp,Loppersum,Groningen,0.000000,0
5.62423742044408,52.085106115546331,Ltn,Lunteren,Gelderland,0.000000,0
5.630353675917467,51.304129477678401,Mz,Maarheeze,Noord-Brabant,0.000000,0
5.370614614152274,52.064034491810112,Mrn,Maarn,Utrecht,0.000000,0
5.032938586736522,52.135877421356412,Mas,Maarssen,Utrecht,0.000000,0
4.253582152316294,51.916345603608306,Mss,Maassluis,Zuid-Holland,0.000000,0
4.236265213655241,51.925480149067745,Msw,Maassluis West,Zuid-Holland,0.000000,0
5.705512388322092,50.849750365341166,Mt,Maastricht,Limburg,0.000000,1
5.71765733753098,50.87046737529402,Mtn,Maastricht Noord,Limburg,0.000000,0
5.717489862925293,50.837608997267466,Mtr,Maastricht Randwyck,Limburg,0.000000,0
5.713210004763131,53.129747824384026,Mg,Mantgum,Friesland,0.000000,0
6.574411758267926,52.508827230537285,Mrb,Marinberg,Overijssel,0.000000,0
6.740412869712237,53.16078171239662,Mth,Martenshoek,Groningen,0.000000,0
5.750641988357102,50.8825512350233,Mes,Meerssen,Limburg,0.000000,0
6.197732235899361,52.691931041292804,Mp,Meppel,Drenthe,0.000000,1
3.618243212769015,51.495223797074239,Mdb,Middelburg,Zeeland,0.000000,1
5.878884879909006,51.766263518770828,Mmlh,Mook Molenhoek,Limburg,0.000000,0
5.156645773099076,52.280926277330764,Ndb,Naarden-Bussum,Noord-Holland,0.000000,0
6.848879956074063,52.718540161500584,Na,Nieuw Amsterdam,Drenthe,0.000000,0
4.645478874091085,52.25898960005955,Nvp,Nieuw Vennep,Noord-Holland,0.000000,0
4.616845854328573,51.965318574124616,Nwk,Nieuwerkerk a/d IJssel,Zuid-Holland,0.000000,0
5.493582356315176,52.221995986585426,Nkk,Nijkerk,Gelderland,0.000000,0
5.852672746007355,51.843039359795284,Nm,Nijmegen,Gelderland,0.000000,1
5.794258178698389,51.82389735227617,Nmd,Nijmegen Dukenburg,Gelderland,0.000000,0
5.822481926623879,51.827277676016685,Nmgo,Nijmegen Goffert,Gelderland,0.000000,0
5.867835473971454,51.826788721964981,Nmh,Nijmegen Heyendaal,Gelderland,0.000000,0
5.859481232642797,51.86265212255956,Nml,Nijmegen Lent,Gelderland,0.000000,0
6.462790823370525,52.366017458338128,Nvd,Nijverdal,Overijssel,0.000000,0
5.783685678107184,52.370604063727583,Ns,Nunspeet,Gelderland,0.000000,0
5.892600614897846,50.919809640157396,Nh,Nuth,Limburg,0.000000,0
4.909145264272111,52.677933371358201,Obd,Obdam,Noord-Holland,0.000000,0
5.193448027382172,51.581995325743243,Ot,Oisterwijk,Noord-Brabant,0.000000,0
6.933835988753466,52.306132778256654,Odz,Oldenzaal,Overijssel,0.000000,0
6.11361671972073,52.33567783651052,Ost,Olst,Overijssel,0.000000,1
6.417227046556344,52.509674055487643,Omn,Ommen,Overijssel,0.000000,0
5.840425171807978,51.994726188108146,Otb,Oosterbeek,Gelderland,0.000000,0
5.637365721429497,51.926022135026521,Op,Opheusden,Gelderland,0.000000,0
5.530140547190551,51.764847449370372,O,Oss,Noord-Brabant,0.000000,1
5.507085547947591,51.758420204932833,Ow,Oss West,Noord-Brabant,0.000000,0
4.533425062565498,51.587761652728545,Odb,Oudenbosch,Noord-Brabant,0.000000,0
4.607550881750679,52.390937344403973,Ovn,Overveen,Noord-Holland,0.000000,0
4.954394405635314,52.504045984325835,Pmr,Purmerend,Noord-Holland,0.000000,0
4.967105818898517,52.511191496595593,Pmo,Purmerend Overwhere,Noord-Holland,0.000000,0
4.93507607408857,52.496326281199082,Pmw,Purmerend Weidevenne,Noord-Holland,0.000000,0
5.575936601421878,52.265463500580076,Pt,Putten,Gelderland,0.000000,0
6.278175091381861,52.39138783705674,Rat,Raalte,Overijssel,0.000000,0
5.637646191416517,51.794838585082125,Rvs,Ravenstein,Noord-Brabant,0.000000,0
6.079386161543343,51.282988670751273,Rv,Reuver,Limburg,0.000000,0
6.031064791149672,52.010063969154899,Rh,Rheden,Gelderland,0.000000,0
5.578320409197488,51.958005503521854,Rhn,Rhenen,Utrecht,0.000000,0
6.519206838391311,52.31176051068465,Rsn,Rijssen,Overijssel,0.000000,0
4.32228756604585,52.037559650416,Rsw,Rijswijk,Zuid-Holland,0.000000,0
4.162570764917568,51.422749137636188,Rb,Rilland-Bath,Zeeland,0.000000,1
5.99427795900158,51.192493359677655,Rm,Roermond,Limburg,0.000000,1
6.760388529283648,53.419069288240173,Rd,Roodeschool,Groningen,0.000000,0
4.458530466550607,51.540291375062431,Rsd,Roosendaal,Noord-Brabant,0.000000,1
5.369716102007512,51.715170859552479,Rs,Rosmalen,Noord-Brabant,0.000000,0
4.552444522543412,51.951762262333617,Rta,Rotterdam Alexander,Zuid-Holland,0.000000,1
4.488906664864815,51.920011288948096,Rtb,Rotterdam Blaak,Zuid-Holland,0.000000,0
4.469430118403613,51.924590130997757,Rtd,Rotterdam Centraal,Zuid-Holland,0.000000,1
4.530998703853498,51.880343814681694,Rlb,Rotterdam Lombardijen,Zuid-Holland,0.000000,0
4.48157036941414,51.942308905520811,Rtn,Rotterdam Noord,Zuid-Holland,0.000000,0
4.509782707778865,51.904871518274717,Rtz,Rotterdam Zuid,Zuid-Holland,0.000000,0
6.449937118978092,52.080779197802883,Rl,Ruurlo,Gelderland,0.000000,0
4.632562844176307,52.433875419447119,Sptn,Santpoort Noord,Noord-Holland,0.000000,0
4.63132338663494,52.419342216703505,Sptz,Santpoort Zuid,Noord-Holland,0.000000,0
